year,id,landform,species,dbh
2014,101,upland,sweet gum,49.7
2015,101,upland,sweet gum,49.7
2016,101,upland,sweet gum,51.3
2014,102,upland,sweet gum,34.4
2015,102,upland,sweet gum,34.5
2016,102,upland,sweet gum,35.6
2014,103,upland,sweet gum,35.9
2015,103,upland,sweet gum,35.9
2016,103,upland,sweet gum,37
2014,104,bottom,sweet gum,43.3
2015,104,bottom,sweet gum,43.3
2016,104,bottom,sweet gum,43.3
2014,105,bottom,sweet gum,42.2
2015,105,bottom,sweet gum,42.5
2016,105,bottom,sweet gum,45.3
2014,106,bottom,sweet gum,35.2
2015,106,bottom,sweet gum,35.6
2016,106,bottom,sweet gum,35.9
2014,201,upland,red oak,24.1
2015,201,upland,red oak,24.1
2016,201,upland,red oak,25
2014,202,upland,red oak,58.2
2015,202,upland,red oak,59
2016,202,upland,red oak,61.7
2014,203,upland,red oak,40.6
2015,203,upland,red oak,40.8
2016,203,upland,red oak,42.6
2014,204,bottom,red oak,22
2015,204,bottom,red oak,22.1
2016,204,bottom,red oak,25.1
2014,205,bottom,red oak,23.1
2015,205,bottom,red oak,23.2
2016,205,bottom,red oak,23.8
2014,206,bottom,red oak,21.6
2015,206,bottom,red oak,21.9
2016,206,bottom,red oak,22.6
